base_model,sae_config,l0,r2_recon,alive_features_l3,dict_sizes,top_k_values,coherence_score,specificity_score,top10_coherence_mean,top50_coherence_mean,top10_specificity_mean,top50_specificity_mean,M_config,monosemanticity_top50_mean,mean_sparse_roc_auc,mean_dense_roc_auc,n_targets_kept,mean_n_features_50pct,mean_n_features_60pct,mean_n_features_70pct,mean_n_features_80pct,mean_n_features_90pct,mean_n_features_100pct,mean_roc_auc_n1,mean_roc_auc_n2,mean_roc_auc_n3,mean_roc_auc_n5,mean_roc_auc_n10,mean_roc_auc_n20,mean_roc_auc_n30,mean_roc_auc_n50,mean_roc_auc_n75,mean_roc_auc_n100
biomedparse,D_128_512_2048_8192_K_10_10_10_10,9.805438995361328,0.8903021812438965,64.68521118164062,128_512_2048_8192,10_10_10_10,0.1453003986022228,0.1863635005834938,0.5857949468493462,0.3384717962845333,0.4019109974158094,0.2346392692997828,0.1382319817185488,0.0665230292437874,0.7498208284708937,0.93002512687659,29,1.1666666666666667,2.111111111111111,12.88888888888889,46.888888888888886,78.61111111111111,100.0,0.5890074881974208,0.6960394385450714,0.7263751907766145,0.739780540637848,0.7508911861967105,0.7436550459445507,0.7419233454534329,0.7492715360546998,0.7493158756861745,0.7493158756861745
biomedparse,D_128_512_2048_8192_K_10_20_40_80,63.58565139770508,0.9182676672935486,1460.2371826171875,128_512_2048_8192,10_20_40_80,0.1186674597562246,0.1810370534897315,0.913958198626836,0.7802161217265657,0.8246464628519854,0.6606279903836239,0.7319280480213276,0.3942846970083575,0.8086920053957023,0.93002512687659,29,1.0,1.9655172413793105,10.79310344827586,44.27586206896552,73.6896551724138,94.06896551724138,0.6361721346845147,0.6897558117567848,0.7200829055597954,0.7365475200782521,0.7582726662430007,0.7705144427595475,0.7767628476129691,0.7825400571231402,0.7849040314868981,0.768488645800635
biomedparse,D_128_512_2048_8192_K_20_20_20_20,19.486875534057617,0.8922209739685059,209.7434844970703,128_512_2048_8192,20_20_20_20,0.1157765248925134,0.1696788370674135,0.7225916475057601,0.5472544058933855,0.5118401267118793,0.3255656751211651,0.2589500162803879,0.1211584083959311,0.7799958629141236,0.93002512687659,29,1.0344827586206895,1.4137931034482758,16.137931034482758,44.793103448275865,77.10344827586206,100.0,0.6604984252030082,0.7049795918867049,0.7150044959917118,0.7428271401019996,0.7618069448891791,0.7652740559775938,0.7662800569439642,0.7671874584874225,0.765383610680409,0.7658947832367402
biomedparse,D_128_512_2048_8192_K_20_40_80_160,131.6803741455078,0.9313931465148926,2272.597412109375,128_512_2048_8192,20_40_80_160,0.1010610557181018,0.1725961631989081,0.8870196553733614,0.7554217400219705,0.8185176793465269,0.6276902984307378,0.7116046485344147,0.3562108105590685,0.8398913247170828,0.93002512687659,29,1.0,1.1111111111111112,2.555555555555556,12.055555555555555,66.0,88.88888888888889,0.6674852077441701,0.6921714001417443,0.7136704042223948,0.7568503260469998,0.7963367543688787,0.8097774277176975,0.8167604749205057,0.8256998273927424,0.8179743164045913,0.8052023035100815
biomedparse,D_128_512_2048_8192_K_30_30_30_30,27.55887794494629,0.8999406099319458,406.68792724609375,128_512_2048_8192,30_30_30_30,0.1237650991122993,0.1760847304956105,0.7944110023313099,0.6708840244395867,0.7213700800843564,0.4442427652416715,0.4774305461692333,0.2207185638329173,0.795206463718314,0.93002512687659,29,1.0,1.137931034482759,8.827586206896552,27.58620689655172,74.0,98.27586206896552,0.696196548903825,0.7336748171121961,0.7567428572285497,0.7681125668594895,0.7765685733201342,0.768454657745899,0.7847069796103209,0.7851070665830516,0.786178866687904,0.785800943539429
biomedparse,D_128_512_2048_8192_K_30_60_120_240,198.9122467041016,0.9413892030715942,2686.067138671875,128_512_2048_8192,30_60_120_240,0.0966918516643836,0.1697878242442485,0.7881411193476783,0.702573327332735,0.7949242241142036,0.6019059196416655,0.5864144866115426,0.315638066189375,0.8474399290374364,0.93002512687659,29,1.0,1.6551724137931034,9.827586206896552,30.620689655172413,67.0,92.06896551724138,0.6686053836823987,0.6915889264527862,0.7260171786555424,0.7451462248754963,0.7762901163074084,0.7892821796720768,0.7998817253399442,0.8078545615784994,0.8142914272832912,0.8007267967669287
biomedparse,D_128_512_2048_8192_K_5_10_20_40,32.076961517333984,0.9096863269805908,911.9710693359376,128_512_2048_8192,5_10_20_40,0.1190759442954889,0.1765124009839627,0.8681394033961827,0.7254151949849394,0.7776143179042234,0.5595594850337197,0.6433155610392716,0.2800635742597946,0.7685309348024795,0.93002512687659,29,1.0,8.068965517241379,21.24137931034483,63.03448275862069,79.62068965517241,96.72413793103448,0.6535735417129069,0.6732972317571737,0.700323593338898,0.7134022358183484,0.7306468568449889,0.737521687029457,0.7412845696554907,0.746227468510058,0.7467754902841767,0.7475136291124463
biomedparse,D_128_512_2048_8192_K_5_5_5_5,4.615756988525391,0.8942758440971375,47.25545501708984,128_512_2048_8192,5_5_5_5,0.1097184229617231,0.1648021247632674,0.5609555070640313,0.2808748394122554,0.2966141179251043,0.1970117786635578,0.0850689411649558,0.0440957478471905,0.6467682506390243,0.93002512687659,29,1.0689655172413792,11.448275862068966,76.13793103448276,82.96551724137932,100.0,100.0,0.6085328109363543,0.6098740171921951,0.6216270718998447,0.6104499716236731,0.616299768162663,0.6173571822123466,0.6167705511332116,0.6158445585643171,0.6158445585643171,0.6162028716886492
biomedparse,D_16_64_256_1024_K_10_10_10_10,8.290258407592773,0.8979563117027283,116.47966003417967,16_64_256_1024,10_10_10_10,0.1189286377493586,0.1644573316027218,0.7049550737606154,0.4986658227588567,0.5016701613552839,0.3020618298737755,0.2634266072327808,0.1151650623691173,0.7309138001120074,0.93002512687659,29,1.0,1.2413793103448276,25.517241379310345,60.03448275862069,79.55172413793103,100.0,0.6635826453740928,0.6976550699783332,0.714282099961347,0.7035765808353551,0.7286329687011251,0.7316849003288886,0.7305646237605621,0.7145376460640523,0.7304175320475809,0.731034893795935
biomedparse,D_16_64_256_1024_K_10_20_40_80,67.1768569946289,0.9186555743217468,571.2780151367188,16_64_256_1024,10_20_40_80,0.1225140940249291,0.1727484452864841,0.7137020258771049,0.5991477836809225,0.5140606745844354,0.3650877057986039,0.2552248926091943,0.1377663978294974,0.817489006778395,0.93002512687659,29,1.0,9.10344827586207,11.10344827586207,37.89655172413793,77.41379310344827,91.03448275862068,0.6417085346230388,0.6841575295601738,0.6881281353638464,0.7133239486290038,0.7577160831064969,0.7699616102060343,0.7790230662948839,0.7842964111136388,0.7724609593304466,0.7916494763326545
