metric,sparse_retrieval,dense_retrieval,dense_fp_retrieval,relative_performance,relative_performance_fp
mean_similarity,0.9977772238266528,0.99700590816874,0.9966047631436257,0.9985239001207217,1.00119511546982
std_similarity,0.0037183653358027866,0.04882549360429913,0.005632126773472359,0.18274158766897455,0.004381687426697512
min_similarity,0.9639557003974915,-0.316071093082428,0.9507085084915161,-3.1402889005850314,0.9754534940053194
max_similarity,0.9999998211860657,1.0,0.9999998807907104,5.009052297498594,1.0498137896591162
n_references,995.0,995.0,995.0,995.0,995.0
