n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6360676272066459,0.29799247176913424,0.5970340083073729,0.6340464073361245,0.28965991394127616,0.5960481541987891,0.6081413917733318,0.2889045887684593,0.5665426462278502
2,0.7193521222741435,0.3569209527096997,0.6651025441329179,0.7155554541628586,0.34833577007679034,0.6621561674803469,0.6857006236451091,0.34979754131251595,0.6351195215614034
3,0.7140978712357218,0.3607242339832869,0.6688343717549325,0.712860620241498,0.3549654011595287,0.6685511830555175,0.6906471951751948,0.3651698041321026,0.6552763116340051
5,0.7852810228452752,0.4158496732026144,0.7110656801661475,0.7732228395044862,0.41173522132765267,0.7106490374140613,0.7900848570991089,0.44626624755755673,0.7204136332094668
10,0.8358904465212877,0.47920133111480867,0.7705607476635514,0.8242436798426198,0.4727666731353904,0.7638782022218524,0.8415689678073147,0.5127142006483911,0.7762857532893253
20,0.8539992211838007,0.49638759031024227,0.7830088265835929,0.8432921514640819,0.49073907276091905,0.7782541508515961,0.8495454990895857,0.5174149207404944,0.7795842740160069
30,0.8693607217030115,0.510530749789385,0.7984034267912772,0.8586716396615777,0.5070869231146495,0.7937843415702179,0.8697011958202878,0.5377088200290916,0.7992306633646523
50,0.8799928608515057,0.5186455207886841,0.8023818795430945,0.868418982660161,0.5119908391951579,0.7982012097478486,0.8786738729045155,0.5492505353319058,0.8071657985044731
75,0.886926272066459,0.5291557876414273,0.8089044652128764,0.8750669368322634,0.5224306823841939,0.8045469150086904,0.8836528371848358,0.5598909834203952,0.8127422390763352
100,0.8924045950155765,0.537117903930131,0.8155179127725857,0.879524338733636,0.5284077624503156,0.8086734770286421,0.8913527640146396,0.5704653951446865,0.8229936434640195
