feature_idx,n_activating,n_ct,n_mri,n_male,n_female,mean_age
288,27012,26901,111,18443,8488,62.87675912517174
1636,11200,8097,3103,5111,5292,66.42382005190811
209,24915,24840,75,15085,9701,66.73186476236584
5,21968,21676,292,14323,7631,63.74232486107315
7611,16424,16328,96,11302,4823,63.13209302325581
1761,11785,8057,3728,7171,3840,62.564617200980834
781,8133,5494,2639,5085,2269,64.72001631765026
742,17967,17915,52,11482,6392,66.86236992279288
244,31511,31400,111,18427,12956,63.405761080839945
1439,5839,3058,2781,3161,2013,65.2323154232702
1849,17660,16675,985,9807,7821,63.59791241207171
746,32830,32741,89,20751,12020,64.60599310365872
1628,27035,27005,30,15838,11165,65.43398881605748
70,21748,21403,345,14355,7331,64.54791109471549
1019,31986,31869,117,18556,13413,67.30076011135787
673,14159,14075,84,7646,6446,65.1865597502129
435,23482,23416,66,14040,9146,64.29086517726213
480,25356,23457,1899,15199,10037,65.39606118243779
487,36884,32834,4050,23378,12458,65.72471816050898
1795,16870,16829,41,9615,7162,68.71770876795613
357,15798,12454,3344,9081,5904,61.36202869536203
88,23782,23205,577,14145,9556,65.04004050462005
181,35377,35295,82,21383,13610,65.17640670991341
236,43949,43228,721,26577,16806,63.98769103104903
843,29060,28522,538,17522,11358,63.65204293628809
271,27001,26817,184,16001,10893,63.97267048412285
765,20599,20374,225,12507,8035,64.50608509395386
686,14094,14089,5,9562,4166,64.01129079254079
594,22778,20628,2150,13648,8277,63.409486887115165
468,19107,19020,87,11945,6791,61.52807429547396
21,6227,6062,165,3632,2565,65.36291754074553
1921,6293,3927,2366,3657,2227,65.56798096532971
932,11277,10780,497,7588,3529,62.67311324997751
118,15628,15606,22,10037,5364,64.47113823777677
1510,26751,24498,2253,16431,10037,63.51998639867009
151,29609,29437,172,19310,10177,65.50289958286703
142,36896,36539,357,23748,12792,64.20355774493706
413,31987,31615,372,19959,11578,64.82379427339316
861,21362,21196,166,14112,7247,63.840629242942086
1953,19407,16912,2495,12533,5885,65.74552068628516
1707,7641,5807,1834,4637,2637,66.53533131701953
1752,13696,11060,2636,9016,4171,63.221809357700764
310,38318,38066,252,22852,15194,64.84962939599433
7291,9996,7656,2340,7007,2400,63.22589560965238
1094,18448,18356,92,11263,7144,68.58157222795676
85,19961,19841,120,12338,7568,64.71717070230082
4329,5236,3236,2000,3273,1510,68.01170813297094
1432,18897,18154,743,12694,6077,64.22998241968995
1873,4612,2707,1905,3207,1015,64.96826148744671
1355,28265,25410,2855,18182,9466,64.7404152199074
135,5821,3943,1878,3665,1859,63.93283852280956
1869,12385,11902,483,8742,3511,63.780706765690034
1987,13956,11279,2677,7884,5748,63.016211854460096
