k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
1,s0754,160,0.6870801448822021,0.039107080549001694,0.6244330406188965,0.7383103370666504,0.6191645860671997,0.038197100162506104,0.5477695465087891,0.6627156734466553
2,s0754,160,0.686160683631897,0.03606002405285835,0.6221660375595093,0.7250586152076721,0.6191254258155823,0.06121908873319626,0.5005614161491394,0.6746776103973389
3,s0754,160,0.653313159942627,0.08270259946584702,0.5228320360183716,0.7456353902816772,0.6181304454803467,0.09088995307683945,0.4676995277404785,0.7065616250038147
5,s0754,160,0.7637521624565125,0.03176657110452652,0.7275491952896118,0.8139823079109192,0.7040625214576721,0.053361304104328156,0.6013336181640625,0.7567431330680847
10,s0754,160,0.8035711050033569,0.05798888951539993,0.7019422054290771,0.8826291561126709,0.7074514627456665,0.09433185309171677,0.5247278213500977,0.7925145626068115
20,s0754,160,0.8270977139472961,0.021424425765872,0.8052911758422852,0.8635358810424805,0.7720234990119934,0.0453246608376503,0.707701563835144,0.8281094431877136
50,s0754,160,0.7853554487228394,0.056529778987169266,0.7243770360946655,0.8790276050567627,0.8137720227241516,0.04154817759990692,0.767410159111023,0.8826291561126709
100,s0754,160,0.7970595359802246,0.057845588773489,0.7243770360946655,0.8790276050567627,0.8442879915237427,0.019005538895726204,0.8267018795013428,0.8790276050567627
1,s1167,129,0.8832372426986694,0.029996825382113457,0.8279245495796204,0.9132382869720459,0.6870604753494263,0.1535697728395462,0.4452641010284424,0.845923125743866
2,s1167,129,0.866753876209259,0.025173252448439598,0.8361129760742188,0.8944733142852783,0.7888585329055786,0.046530045568943024,0.7333494424819946,0.8525782227516174
3,s1167,129,0.9179447293281555,0.023901689797639847,0.882143497467041,0.9438464641571045,0.7295719385147095,0.03362850844860077,0.6663850545883179,0.7571320533752441
5,s1167,129,0.9245821237564087,0.025935422629117966,0.8749547600746155,0.9506646394729614,0.8347581624984741,0.04213142767548561,0.7639746069908142,0.8946926593780518
10,s1167,129,0.937893271446228,0.016386602073907852,0.9097614288330078,0.9541630148887634,0.9337383508682251,0.019148018211126328,0.8972935676574707,0.9495290517807007
20,s1167,129,0.9385412335395813,0.016589097678661346,0.9107431769371033,0.9575144052505493,0.9364217519760132,0.02027103304862976,0.9029448628425598,0.958507776260376
50,s1167,129,0.932625412940979,0.016033202409744263,0.9107431769371033,0.9575144052505493,0.9494524002075195,0.00950784981250763,0.9340790510177612,0.958507776260376
100,s1167,129,0.932625412940979,0.016033202409744263,0.9107431769371033,0.9575144052505493,0.952705979347229,0.00571887893602252,0.9426103830337524,0.958507776260376
1,s0782,71,0.6382532119750977,0.05361953377723694,0.5788124799728394,0.7162752151489258,0.486177921295166,0.1403343379497528,0.22718331217765808,0.6539393663406372
2,s0782,71,0.599877119064331,0.10815081745386124,0.4200727939605713,0.7208698987960815,0.5918809771537781,0.02802722342312336,0.5667580366134644,0.6377827525138855
3,s0782,71,0.6214509010314941,0.05076196789741516,0.5307420492172241,0.6772384643554688,0.5894491076469421,0.0708925724029541,0.5002018809318542,0.667960524559021
5,s0782,71,0.673336386680603,0.11358939856290817,0.46258288621902466,0.8036408424377441,0.627906084060669,0.03426838293671608,0.5603609085083008,0.652040958404541
