base_model,sae_config,target_group,target,dense_baseline_roc_auc,sparse_baseline_roc_auc,n_nonzero,max_roc_auc,n_at_max_roc_auc,n_features_50pct,n_features_60pct,n_features_70pct,n_features_80pct,n_features_90pct,n_features_100pct
biomedparse,D_128_512_2048_8192_K_5_10_20_40,modality,mri,0.9999886502324216,0.9983355858579472,374,0.9985205043799118,50.0,1.0,1.0,1.0,1.0,1.0,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,modality,ct,0.9999886510946694,0.9983355858579472,374,0.9985205043799118,50.0,1.0,1.0,1.0,1.0,1.0,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,sex,f,0.8275105199227091,0.4925374730125045,50,0.48538469088441893,1.0,1.0,,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,sex,m,0.8275105201494352,0.4925374730125045,50,0.48538469088441905,1.0,1.0,,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,slice_orientation,x,0.9960688500398044,0.8398484582432996,182,0.7062465592782137,100.0,1.0,1.0,50.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,slice_orientation,y,0.9923278712661368,0.8082696673302749,182,0.7685468873032391,100.0,1.0,1.0,1.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,slice_orientation,z,0.9990929701278904,0.8769155653439097,182,0.8400130985865595,100.0,1.0,1.0,1.0,5.0,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,age_group,<40,0.9404653369771802,0.6760122368262379,103,0.6266334899634063,100.0,1.0,1.0,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,age_group,>=80,0.940465340265384,0.676012236826238,103,0.6266334899634061,100.0,1.0,1.0,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,kvp,80.0,0.877703306006336,0.6944412726524208,113,0.680138987022693,100.0,1.0,1.0,2.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,kvp,120.0,0.8777033096703237,0.6944412726524207,113,0.6801389870226928,100.0,1.0,1.0,2.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,institute,B,0.5556141110158075,0.5,657,0.8135955734496514,100.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse,D_128_512_2048_8192_K_5_10_20_40,institute,C,0.5926474824201644,0.5,657,0.7414969668312361,100.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse,D_128_512_2048_8192_K_5_10_20_40,institute,F,0.2649838428447016,0.5,657,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse,D_128_512_2048_8192_K_5_10_20_40,institute,G,0.4408712203389369,0.5,657,0.5813537155597848,5.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse,D_128_512_2048_8192_K_5_10_20_40,institute,H,,,657,,,,,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,institute,I,,,657,0.6821744767874087,100.0,,,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,institute,J,,,657,0.6761402316480309,20.0,,,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,manufacturer,ge,0.9852162208922532,0.9884139870354064,681,0.9884897031406781,100.0,1.0,1.0,1.0,1.0,1.0,5.0
biomedparse,D_128_512_2048_8192_K_5_10_20_40,manufacturer,philips,0.9088828567502408,0.4973422024287641,681,0.6352546480084128,10.0,1.0,5.0,,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,manufacturer,siemens,0.8975092151946638,0.6990964068714233,681,0.688174390726223,100.0,1.0,1.0,3.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,scanner_model,Achieva,0.499124559555378,0.978431627945595,607,0.9793789925429287,10.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse,D_128_512_2048_8192_K_5_10_20_40,scanner_model,Avanto_fit,0.9900600482502137,0.9897965817845212,607,0.9893625798860405,50.0,1.0,1.0,1.0,1.0,2.0,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,scanner_model,Skyra,0.9896107024798428,0.9841682185167564,607,0.9893020537278963,20.0,1.0,1.0,1.0,1.0,1.0,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_abdominal,gallbladder,0.9230989970648432,0.7642343122547254,513,0.7387904185035998,100.0,1.0,1.0,3.0,50.0,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_abdominal,kidney_left,0.958224971627166,0.7762708502358082,513,0.7463369513338609,100.0,1.0,1.0,3.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_abdominal,liver,0.9621466063486708,0.7655059525461749,513,0.7318561483104588,100.0,1.0,2.0,5.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_abdominal,spleen,0.9501525224927166,0.7222569779792645,513,0.6862972773818361,100.0,1.0,2.0,20.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_abdominal,prostate,0.963539826989697,0.8358360448898057,513,0.8236488210566829,100.0,1.0,2.0,2.0,10.0,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_head_and_neck,brain,0.9832604906549566,0.8919405263131186,457,0.8559048474294153,50.0,1.0,1.0,1.0,5.0,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_thoracic,heart,0.974274692967562,0.7985034277433042,237,0.7724730872411475,100.0,1.0,1.0,1.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_thoracic,sternum,0.9728801264679908,0.8102421016189861,237,0.783391670548243,100.0,1.0,1.0,3.0,50.0,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_thoracic,clavicula_left,0.947846833684862,0.7373725775111263,237,0.7048230848827137,100.0,1.0,1.0,5.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,organs_thoracic,clavicula_right,0.9516989666921486,0.7403557121949058,237,0.7087958017043557,100.0,1.0,1.0,2.0,,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,pathology,inflammation,0.7383596670294129,0.6726424066486008,472,0.653030018220128,50.0,1.0,1.0,1.0,1.0,,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,pathology,tumor,0.7651059250612842,0.6841810920488718,472,0.693343856921234,3.0,1.0,1.0,1.0,2.0,3.0,
biomedparse,D_128_512_2048_8192_K_5_10_20_40,pathology,trauma,0.8300346830202989,0.681550903034635,472,0.6469994309234472,75.0,1.0,1.0,5.0,,,
