n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5851919272826438,0.3585714285714286,0.5650724001153852,0.5156263821758477,0.27526015441423296,0.50743188606185,0.6523869578427843,0.4644842495367511,0.6256802814965686
2,0.6233719994874813,0.4552129221732746,0.5857059019814876,0.5747132346099295,0.411917684305744,0.5490522479708808,0.7172585385919185,0.6026322450012656,0.672482550096656
3,0.6436959688487309,0.4700434153400868,0.5935940989092534,0.5859752663032276,0.4109017040966031,0.5477813769943292,0.719111212838288,0.599783210887631,0.6579126130469852
5,0.6509024063026094,0.5311860940695297,0.6180803982845698,0.5997332911724247,0.48138142910111764,0.5852224846917515,0.6747515364219056,0.5967546086764544,0.6319561634545626
10,0.6956456125180632,0.5774577954319762,0.6527226869682533,0.663041052781791,0.550949050949051,0.6288337618333981,0.7048362850486691,0.6381178412960479,0.6527624132010941
20,0.7203417499224027,0.597029702970297,0.6692274329049326,0.686266703737436,0.5702261967385587,0.63702704131205,0.734267306029752,0.6614545828618454,0.674814601817764
30,0.7414464023997933,0.6155378486055777,0.6858938825962223,0.7075624027558988,0.5883093003000097,0.6547091426377953,0.7345948437571413,0.6634992770088824,0.6777632862595249
50,0.7633033027991879,0.6268506900878293,0.6963941775685374,0.7383480514753021,0.6110330798663244,0.6743547421542293,0.7627647177534862,0.6894811225519887,0.6982611492377919
75,0.7774714808706513,0.6513830052329928,0.7167763876888629,0.7520222534573799,0.6246342890579286,0.686930966906999,0.7642798965783835,0.690540137272456,0.6961527131276446
100,0.783400133200042,0.6597014925373135,0.723799024158952,0.7579178513214919,0.6298455260856893,0.6908779358372692,0.7739711267909366,0.6967050416832076,0.7019160252972905
