reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_mean,dense_std,dense_min,dense_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max,relative_performance,relative_performance_fp
s0754,160,0.7637521624565125,0.03176657110452652,0.7275491952896118,0.8139823079109192,0.8460997343063354,0.019445693120360374,0.8301120400428772,0.8826291561126709,0.7040625214576721,0.053361304104328156,0.6013336181640625,0.7567431330680847,0.9026739183208293,1.0847788927540987
s1167,129,0.9245821237564087,0.025935422629117966,0.8749547600746155,0.9506646394729614,0.9553377032279968,0.0034671614412218332,0.951094388961792,0.9596845507621765,0.8347581624984741,0.04213142767548561,0.7639746069908142,0.8946926593780518,0.9678065888453183,1.1076047714095862
s0782,71,0.673336386680603,0.11358939856290817,0.46258288621902466,0.8036408424377441,0.7974575161933899,0.020659035071730614,0.7744370698928833,0.8332796692848206,0.627906084060669,0.03426838293671608,0.5603609085083008,0.652040958404541,0.8443539285888598,1.0723520662933161
s0374,149,0.811019778251648,0.08310052007436752,0.7047677040100098,0.904205858707428,0.9035378694534302,0.012643259949982166,0.8855418562889099,0.922548770904541,0.7386319041252136,0.051852352917194366,0.6758230924606323,0.8070075511932373,0.8976046335968757,1.0980026366613092
s1395,26,0.8342447280883789,0.06450976431369781,0.7334040403366089,0.9289071559906006,0.9168927073478699,0.01113406103104353,0.9019615054130554,0.9308298826217651,0.6534541845321655,0.0480436272919178,0.5622999668121338,0.7010669708251953,0.9098607954920355,1.276669042506245
s0262,10,0.8971220850944519,0.031763073056936264,0.8521405458450317,0.9339702129364014,0.929680347442627,0.0026832297444343567,0.9269284009933472,0.9339702129364014,0.8321301341056824,0.042717091739177704,0.751432478427887,0.8750889301300049,0.9649790786287603,1.0781031095077678
s1121,240,0.8689888119697571,0.0236970242112875,0.8430423736572266,0.9039285182952881,0.9275504946708679,0.011296920478343964,0.9148838520050049,0.9444282054901123,0.7947267293930054,0.1319936066865921,0.5956159830093384,0.924423336982727,0.9368641566819595,1.0934435445923298
s1178,302,0.9150835275650024,0.024766990914940834,0.8679139614105225,0.9372138381004333,0.9354850649833679,0.0037848653737455606,0.9320161938667297,0.9428110122680664,0.8555262684822083,0.0530644990503788,0.7525793313980103,0.8993964195251465,0.9781914878366036,1.0696147637739457
s0287,258,0.8635525703430176,0.04642949998378754,0.7811657786369324,0.9082045555114746,0.9088758230209351,0.03379581496119499,0.8460474610328674,0.9467546939849854,0.6318895220756531,0.14013749361038208,0.5287431478500366,0.9074420928955078,0.9501326236985033,1.3666195437240192
s0637,73,0.8592298626899719,0.06756840646266937,0.7347087264060974,0.9213130474090576,0.9516938924789429,0.0016534243477508426,0.9495728015899658,0.9534773826599121,0.8975238800048828,0.04064657911658287,0.839621901512146,0.948135256767273,0.9028426781765684,0.9573337064695119
s0382,46,0.6611286997795105,0.0327632836997509,0.6097859740257263,0.6991774439811707,0.8063348531723022,0.010127333924174309,0.7941653728485107,0.8213217258453369,0.676598846912384,0.053076811134815216,0.6148890256881714,0.7359619140625,0.8199182971918947,0.9771354219661021
s0737,129,0.8402389287948608,0.03165307641029358,0.8054633140563965,0.8969563841819763,0.8862593770027161,0.013427253812551498,0.8686103820800781,0.9045588970184326,0.7287279963493347,0.03910147026181221,0.6779218912124634,0.7882822751998901,0.9480733864125714,1.153021337185007
s0050,4,0.8001686334609985,0.021867647767066956,0.7630457282066345,0.8209652900695801,0.8393653035163879,0.00817576702684164,0.8303526639938354,0.8545618057250977,0.7154213786125183,0.03859947994351387,0.6665581464767456,0.7659741640090942,0.9533020129719668,1.1184578171438464
s0744,102,0.7812511324882507,0.048825208097696304,0.7065014243125916,0.8388965725898743,0.8564248085021973,0.013910018838942051,0.8429569005966187,0.8793824911117554,0.5260949730873108,0.10442377626895905,0.39748406410217285,0.7115867137908936,0.9122238458441928,1.4850001852395465
s0294,207,0.4365506172180176,0.08497177064418793,0.3354531228542328,0.546286940574646,0.695568859577179,0.046344123780727386,0.6535879373550415,0.7788678407669067,0.4847026467323303,0.14051446318626404,0.2830868363380432,0.6897302865982056,0.6276166783593319,0.9006565575019359
s0270,93,0.7138139605522156,0.11539711058139801,0.5632847547531128,0.8290742039680481,0.8615641593933105,0.011415575630962849,0.8532774448394775,0.8839313387870789,0.681471049785614,0.07698776572942734,0.5296790599822998,0.7422538995742798,0.8285093486883942,1.047460432511075
s1130,32,0.9434205889701843,0.020589416846632957,0.9177227020263672,0.9655634164810181,0.9635258913040161,0.0033324460964649916,0.9583977460861206,0.967912495136261,0.8464711904525757,0.026591898873448372,0.802304744720459,0.8770605325698853,0.9791336148667249,1.114533606826918
s0860,244,0.9161564707756042,0.02878224477171898,0.8843554258346558,0.9527058601379395,0.9512351155281067,0.005273923743516207,0.9460266828536987,0.9605282545089722,0.9080008268356323,0.026795146986842155,0.8868489265441895,0.9507538080215454,0.9631230552995014,1.008981978538934
s0874,71,0.8479754328727722,0.043530263006687164,0.7921707630157471,0.9060674905776978,0.8988631963729858,0.012440823018550873,0.8838092088699341,0.9145548343658447,0.7631575465202332,0.025951139628887177,0.7280471920967102,0.7883970737457275,0.9433865312257177,1.1111407293805622
s0585,168,0.9039198756217957,0.01056860201060772,0.8894757628440857,0.9126514792442322,0.9492355585098267,0.003941426053643227,0.9460015296936035,0.9568907618522644,0.8661289215087891,0.018296165391802788,0.8329525589942932,0.8836565017700195,0.9522608666713133,1.043632019638803
s1234,84,0.8651008605957031,0.016813065856695175,0.8368375301361084,0.8878787755966187,0.9101763963699341,0.0072095016948878765,0.9018173813819885,0.9182623624801636,0.6994191408157349,0.054888203740119934,0.6524274349212646,0.8057665824890137,0.9504760440349737,1.2368847377936114
s1041,170,0.8135997653007507,0.040361542254686356,0.7454730272293091,0.8495072722434998,0.8930729627609253,0.007023517042398453,0.8857249021530151,0.9064602851867676,0.6693757772445679,0.011462967842817307,0.6484760046005249,0.6799536347389221,0.9110115289858468,1.215460422918005
s0754,102,0.8742188215255737,0.015180744230747223,0.8468592166900635,0.8901345133781433,0.9100642204284668,0.0030456972308456898,0.9065088629722595,0.9145036935806274,0.6855868101119995,0.047021493315696716,0.6288763284683228,0.7694271802902222,0.9606122314247046,1.27513949893925
s1241,182,0.8393546938896179,0.0339348278939724,0.7878215312957764,0.8843079805374146,0.8972823023796082,0.005337835289537907,0.8888317942619324,0.9045843482017517,0.6909211874008179,0.12568995356559753,0.47252944111824036,0.8581598401069641,0.9354410442105398,1.2148342085834614
s0804,101,0.8939352035522461,0.016550369560718536,0.8658758997917175,0.9084981679916382,0.9341702461242676,0.00471369456499815,0.9290233850479126,0.9398576021194458,0.8201797604560852,0.014762317761778831,0.7988802194595337,0.8391431570053101,0.9569296466688479,1.089925948739758
s0149,63,0.830755352973938,0.061849381774663925,0.7664905786514282,0.9391681551933289,0.8649680018424988,0.051502298563718796,0.8249815106391907,0.9632242918014526,0.6243017911911011,0.05115141719579697,0.5524887442588806,0.6804704070091248,0.960446341603755,1.3306951296566771
s1370,118,0.9299526214599609,0.019365938380360603,0.8966593742370605,0.9514597058296204,0.9538499712944031,0.005446410272270441,0.9438961744308472,0.9601725339889526,0.8612595796585083,0.030638093128800392,0.8289549350738525,0.8996541500091553,0.9749464270549668,1.0797588130499398
s0212,95,0.8108012080192566,0.03064335137605667,0.7692424058914185,0.845775842666626,0.9052060842514038,0.016459574922919273,0.8904386758804321,0.9344026446342468,0.6855878233909607,0.04386403411626816,0.654504120349884,0.7727372646331787,0.8957089685160269,1.1826365351837531
s0278,43,0.7540829181671143,0.03079843893647194,0.693203330039978,0.7779207229614258,0.8193610310554504,0.009541898965835571,0.8105560541152954,0.8377751708030701,0.6730723977088928,0.03768806532025337,0.608101487159729,0.7198635339736938,0.9203304643323725,1.120359296762098
s0637,13,0.7210267186164856,0.0451766699552536,0.649765133857727,0.7923576235771179,0.8155166506767273,0.015642916783690453,0.7991394400596619,0.8422446250915527,0.6174023151397705,0.08181321620941162,0.5034143924713135,0.6990432143211365,0.8841348831052896,1.1678393503484938
s1287,160,0.9247468113899231,0.008389720693230629,0.9124189019203186,0.9325470924377441,0.959696888923645,0.0011338881449773908,0.9585618376731873,0.9617445468902588,0.8755442500114441,0.054942477494478226,0.7990216016769409,0.9287168383598328,0.9635821706446079,1.0561965444668684
s0613,161,0.9222416877746582,0.01377816777676344,0.9074223637580872,0.9432682991027832,0.9442856907844543,0.003311921376734972,0.9397459030151367,0.9482680559158325,0.7943946719169617,0.042493972927331924,0.7322549819946289,0.8429433107376099,0.9766553668821526,1.1609363964503785
s0422,127,0.9486688375473022,0.007072513923048973,0.9367375373840332,0.9565765857696533,0.9637060165405273,0.0023140106350183487,0.9608528017997742,0.965972900390625,0.8313563466072083,0.08142982423305511,0.7107648849487305,0.9334838390350342,0.9843965081309703,1.141109755664764
s0294,30,0.8934744000434875,0.022897832095623016,0.8505798578262329,0.9164326786994934,0.9318629503250122,0.0028449641540646553,0.9281465411186218,0.9368704557418823,0.7878748178482056,0.07016777247190475,0.6926797032356262,0.8916541337966919,0.9588045106116349,1.1340309143065253
s0188,130,0.8683907389640808,0.025943320244550705,0.8299901485443115,0.8982642292976379,0.9205570220947266,0.01376213040202856,0.9080483913421631,0.9436630010604858,0.7431458830833435,0.09355884790420532,0.649870753288269,0.8663049936294556,0.9433318285792428,1.1685333374398728
s0490,134,0.895027756690979,0.02697117067873478,0.8591387867927551,0.9259474277496338,0.9350776672363281,0.00991845689713955,0.923720121383667,0.9511329531669617,0.785788893699646,0.06297004967927933,0.6631328463554382,0.835003674030304,0.9571694288628251,1.139018079623161
s1212,147,0.8756319880485535,0.027867654338479042,0.8296222686767578,0.9055309295654297,0.9266742467880249,0.0032368386164307594,0.9222853183746338,0.9303010702133179,0.7971667647361755,0.04099658131599426,0.7529869675636292,0.8542232513427734,0.9449188763835936,1.0984301237625558
s0209,85,0.4539160132408142,0.22442898154258728,0.18978048861026764,0.7465975284576416,0.760322093963623,0.036209698766469955,0.6973737478256226,0.8059405088424683,0.5392306447029114,0.1231527104973793,0.43081969022750854,0.7436263561248779,0.5970048967990813,0.8417845270846926
s0052,117,0.912955105304718,0.024265486747026443,0.8770956993103027,0.9395038485527039,0.9494863748550415,0.00445659039542079,0.946216344833374,0.9581258893013,0.8138387799263,0.10971120744943619,0.6269014477729797,0.9357943534851074,0.9615252303584654,1.1217886488370508
s0067,129,0.8398374319076538,0.019986147060990334,0.8188188076019287,0.875322163105011,0.28220486640930176,0.05674469843506813,0.24503540992736816,0.39508363604545593,0.7915600538253784,0.028539923951029778,0.7534497976303101,0.825268030166626,2.975984938153327,1.0609901647372995
s1344,5,0.9000492095947266,0.02864162065088749,0.84681236743927,0.9318469762802124,0.9322429895401001,0.0074210693128407,0.923068642616272,0.9421046376228333,0.7556015253067017,0.07776003330945969,0.6181052327156067,0.8579230308532715,0.9654663212203338,1.1911691274437184
s0058,29,0.8347185254096985,0.022268284112215042,0.8014025688171387,0.8631669878959656,0.8982934951782227,0.007876630872488022,0.8898588418960571,0.9089640378952026,0.8225817680358887,0.029410894960165024,0.773756206035614,0.8628541827201843,0.929226950757435,1.0147544692156127
s0804,27,0.8348024487495422,0.04064587131142616,0.7969425320625305,0.9084659814834595,0.9144781231880188,0.005940267350524664,0.908385694026947,0.9253392219543457,0.8040555715560913,0.035334110260009766,0.7338085770606995,0.8285460472106934,0.9128730667052873,1.0382397414819804
s0536,28,0.8927180171012878,0.04147355258464813,0.8444823026657104,0.9448658227920532,0.9522138833999634,0.0018706575501710176,0.9502575397491455,0.9555151462554932,0.8624518513679504,0.04346993938088417,0.7857254147529602,0.9045083522796631,0.9375183797087264,1.0350931657058091
s1272,163,0.8672602772712708,0.02942182682454586,0.8303883671760559,0.9192650318145752,0.9330077171325684,0.002946217078715563,0.9304143190383911,0.9384259581565857,0.7297948002815247,0.025272464379668236,0.693130612373352,0.7702692747116089,0.9295317298517524,1.188361820249634
s0003,54,0.8792939186096191,0.025279197841882706,0.8375186920166016,0.9057623147964478,0.9049126505851746,0.0015841822605580091,0.9019894003868103,0.9065728187561035,0.7303918600082397,0.08010224997997284,0.6258772611618042,0.8513040542602539,0.9716892763528184,1.2038659885937113
s0951,26,0.8815301656723022,0.012185849249362946,0.8667808771133423,0.8939025402069092,0.9066548347473145,0.010411260649561882,0.8989619016647339,0.9272831678390503,0.7535416483879089,0.08271852880716324,0.6367961168289185,0.8845733404159546,0.972288606300749,1.1698492944062293
s0002,31,0.8563515543937683,0.013013429008424282,0.836362898349762,0.8714592456817627,0.8886359930038452,0.003256953088566661,0.884101152420044,0.8941690921783447,0.7518075704574585,0.012602710165083408,0.7328671216964722,0.7687031626701355,0.9636696702989194,1.139056838537416
s1212,81,0.9405339956283569,0.014695607125759125,0.9133515954017639,0.9564099907875061,0.9564021825790405,0.006012504454702139,0.9498889446258545,0.966151237487793,0.8552355766296387,0.14956510066986084,0.5562725067138672,0.9379152655601501,0.9834084580318572,1.0997367524569863
s0730,168,0.5176264643669128,0.06893151998519897,0.3926060199737549,0.5818630456924438,0.722193717956543,0.07380832731723785,0.6727575063705444,0.8682926893234253,0.5119669437408447,0.08511489629745483,0.40820375084877014,0.6176304817199707,0.7167418540160444,1.0110544649322768
s0578,55,0.9437549710273743,0.008934452198445797,0.9294292330741882,0.9522997736930847,0.9559363126754761,0.0026656961999833584,0.9522997736930847,0.9589277505874634,0.9031490087509155,0.026599479839205742,0.8621388673782349,0.9426743984222412,0.9872571619190732,1.0449604238979546
s1337,74,0.9297425150871277,0.020614003762602806,0.9006742835044861,0.9550513029098511,0.9556576013565063,0.0006835556705482304,0.9543739557266235,0.9562921524047852,0.7999526262283325,0.07413674145936966,0.7296186685562134,0.9303258657455444,0.9728824568207342,1.1622469688870662
s0212,85,0.8933835029602051,0.026645980775356293,0.8453534245491028,0.9271580576896667,0.9244435429573059,0.004526104778051376,0.9209085702896118,0.9330820441246033,0.8002017140388489,0.0355776846408844,0.7575079798698425,0.8521151542663574,0.9664013662773397,1.116447874687797
s0737,64,0.8701585531234741,0.007993950508534908,0.8570159077644348,0.8792698383331299,0.9015270471572876,0.004891964606940746,0.8968656063079834,0.9080908298492432,0.7494869232177734,0.08638419210910797,0.6068555116653442,0.860755443572998,0.9652051548173455,1.1610056508893056
s0058,202,0.9124438166618347,0.01784559339284897,0.8892820477485657,0.9393274784088135,0.9501039385795593,0.008434787392616272,0.9420755505561829,0.9663910865783691,0.8387162089347839,0.03672296181321144,0.7690143585205078,0.8785439729690552,0.9603621031462853,1.0879053092591222
s0248,246,0.812965989112854,0.034607596695423126,0.747462272644043,0.842864990234375,0.86589115858078,0.011100752279162407,0.8534754514694214,0.8825425505638123,0.6907278299331665,0.11386043578386307,0.49219709634780884,0.8378415107727051,0.9388778035859936,1.176970079794693
s0810,147,0.9000307321548462,0.015021350234746933,0.8776590824127197,0.9199677109718323,0.9302662014961243,0.00229646940715611,0.9277757406234741,0.9344915747642517,0.8129088282585144,0.03136444836854935,0.7723650932312012,0.8598247766494751,0.9674980459435685,1.1071730320397333
s0233,43,0.8362686038017273,0.0180460587143898,0.8099558353424072,0.8661322593688965,0.8813082575798035,0.003813021583482623,0.8764389753341675,0.8882052302360535,0.8205145597457886,0.02805900387465954,0.789716362953186,0.8689479827880859,0.9488945514912552,1.019200200494699
