reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_mean,dense_std,dense_min,dense_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max,relative_performance,relative_performance_fp
s0754,160,0.9312499761581421,0.02247737906873226,0.8894380927085876,0.9514716267585754,0.9538977742195129,0.003279290162026882,0.94853675365448,0.9587553143501282,0.9162937998771667,0.024167481809854507,0.8885802030563354,0.9562342166900635,0.9762576256350933,1.016322468058804
s1167,129,0.9562114477157593,0.01062806323170662,0.9415637254714966,0.9746536016464233,0.9728386998176575,0.003065919503569603,0.969973623752594,0.9785118103027344,0.9633505940437317,0.00829681009054184,0.9498172998428345,0.9731026887893677,0.9829085211093939,0.9925892542423155
s0782,71,0.936292827129364,0.027937086299061775,0.8819276690483093,0.9601522088050842,0.9679193496704102,0.0041195098310709,0.9637589454650879,0.9752190709114075,0.9038522839546204,0.03660887852311134,0.8681457042694092,0.9607312679290771,0.9673252502372068,1.0358914213645694
s0374,149,0.9467681646347046,0.011568289250135422,0.9246732592582703,0.9561580419540405,0.9836438894271851,0.0019428731175139546,0.9814823865890503,0.9866927266120911,0.9424194097518921,0.03219648450613022,0.9045340418815613,0.9834073185920715,0.9625111026573299,1.004614458104123
s1395,26,0.9812228083610535,0.00854306947439909,0.9678006172180176,0.9917128086090088,0.9896170496940613,0.0018997798906639218,0.9870392084121704,0.9928277730941772,0.9527427554130554,0.0190670695155859,0.9211397767066956,0.9753993153572083,0.9915176872350745,1.0298926995625914
s0262,10,0.9565922021865845,0.024486320093274117,0.9238917827606201,0.9837733507156372,0.9867311716079712,0.0036436656955629587,0.9827789664268494,0.9925101399421692,0.967662513256073,0.01626262068748474,0.9388490915298462,0.9838416576385498,0.9694557440885622,0.9885597396635339
s1121,240,0.9858778119087219,0.012458368204534054,0.9637088179588318,0.9958742260932922,0.9944131970405579,0.0018481621518731117,0.9909623861312866,0.9963104128837585,0.9703966379165649,0.01699678972363472,0.9371602535247803,0.9850487112998962,0.9914166614469339,1.0159534497413294
s1178,302,0.9729374051094055,0.0057691712863743305,0.9648107886314392,0.9807031750679016,0.9857556223869324,0.0019952221773564816,0.9819157719612122,0.9873830080032349,0.931352972984314,0.014777883887290955,0.9158796668052673,0.9525222778320312,0.9869965567667892,1.044649486640756
s0287,258,0.9850413203239441,0.0025647582951933146,0.9821457862854004,0.9898433089256287,0.9932783842086792,0.0016424518544226885,0.9913362860679626,0.9962725043296814,0.9620562791824341,0.013721141964197159,0.9395031332969666,0.9819204807281494,0.9917071950666707,1.0238915764481502
s0637,73,0.9620147943496704,0.02131522074341774,0.9204068183898926,0.9783304929733276,0.9840549230575562,0.0008188150241039693,0.9830752611160278,0.9852320551872253,0.9529322385787964,0.026787644252181053,0.9065386056900024,0.9805132150650024,0.9776027453433139,1.0095311664388853
s0382,46,0.9790430068969727,0.004138242918998003,0.9734292030334473,0.9845169186592102,0.9857953786849976,0.0007122006500139832,0.9848504066467285,0.9869067668914795,0.932344913482666,0.05100369080901146,0.8571951389312744,0.981337308883667,0.9931503312614102,1.050086714411163
s0737,129,0.9521076083183289,0.014870775863528252,0.9293140172958374,0.973809003829956,0.970748245716095,0.004065291490405798,0.9656829237937927,0.9776420593261719,0.8919298052787781,0.01279157493263483,0.870503306388855,0.9101776480674744,0.9807976604850669,1.0674692141504811
s0050,4,0.8645235896110535,0.02822698839008808,0.8204177618026733,0.8947997689247131,0.9276073575019836,0.0006374134682118893,0.9270749092102051,0.9288511276245117,0.8577016592025757,0.01789175346493721,0.8278942704200745,0.8842766284942627,0.9319930276741091,1.0079537334867934
s0744,102,0.9553800821304321,0.020994020625948906,0.9135982990264893,0.9682904481887817,0.9707527160644531,0.0020949854515492916,0.9682904481887817,0.9737472534179688,0.8855741620063782,0.016334092244505882,0.8651552200317383,0.910092830657959,0.9841642122863756,1.0788256061648185
s0294,207,0.9590893983840942,0.017516376450657845,0.9282134175300598,0.9799832701683044,0.9697950482368469,0.006009956356137991,0.961702823638916,0.9799832701683044,0.8998815417289734,0.024074500426650047,0.8695241212844849,0.9355437755584717,0.9889609151209667,1.0657951673743222
s0270,93,0.9315574765205383,0.026387963443994522,0.9018064141273499,0.9698087573051453,0.9651206731796265,0.006601443514227867,0.9577269554138184,0.9733757972717285,0.9220277667045593,0.033389072865247726,0.8905239105224609,0.9657488465309143,0.9652238340843815,1.010335599599174
s1130,32,0.9691176414489746,0.018748551607131958,0.9397112727165222,0.9906267523765564,0.9858869314193726,0.0028771283105015755,0.9826009273529053,0.99078768491745,0.9598563313484192,0.011706462129950523,0.9423912763595581,0.9791384935379028,0.9829906559910928,1.0096486419874369
s0860,244,0.9454621076583862,0.022384552285075188,0.902898371219635,0.9619196653366089,0.9764970541000366,0.00258753658272326,0.9736274480819702,0.9802700281143188,0.9188749194145203,0.026598382741212845,0.8896037340164185,0.9684139490127563,0.9682180849278107,1.0289345020547591
s0874,71,0.9054778218269348,0.008506359532475471,0.8953863382339478,0.9186525940895081,0.9542319178581238,0.0030085246544331312,0.9505782723426819,0.9586409330368042,0.9169769287109375,0.013503576628863811,0.8916940093040466,0.9303596019744873,0.9489074981471771,0.9874597642274732
s0585,168,0.9509087800979614,0.01911139488220215,0.9205912351608276,0.9733141660690308,0.974364161491394,0.0016082223737612367,0.9720748066902161,0.9770672917366028,0.9194328188896179,0.02099008299410343,0.8809854388237,0.9430091381072998,0.9759274998810188,1.0342341066815044
s1234,84,0.9235011339187622,0.014829221181571484,0.9111987352371216,0.9516750574111938,0.9531265497207642,0.0029631289653480053,0.9496939182281494,0.9570667147636414,0.9273320436477661,0.027910184115171432,0.8785244822502136,0.9570667147636414,0.9689176470735379,0.9958688910242608
s1041,170,0.9425775408744812,0.02109217643737793,0.9221038222312927,0.97984379529953,0.9764650464057922,0.0033281021751463413,0.9734163284301758,0.982791543006897,0.9460083246231079,0.008741719648241997,0.9291638135910034,0.9521368145942688,0.9652957311108622,0.9963734106145488
s0754,102,0.9480260014533997,0.019125094637274742,0.9213287234306335,0.9694368243217468,0.9753120541572571,0.0031050590332597494,0.9694191217422485,0.9777709245681763,0.9433742761611938,0.01037778053432703,0.9309310913085938,0.9621504545211792,0.9720232590302244,1.0049309435393285
s1241,182,0.9145371317863464,0.03340739384293556,0.8713787794113159,0.9551804065704346,0.9532877206802368,0.00680082943290472,0.9460292458534241,0.9651874899864197,0.9223974943161011,0.023356929421424866,0.8838961720466614,0.9455603361129761,0.9593505842430875,0.9914783349063816
s0804,101,0.954150378704071,0.016497476026415825,0.9278547763824463,0.9769071340560913,0.9779523611068726,0.0010511513100937009,0.9767432808876038,0.9792003035545349,0.9389327764511108,0.03152236342430115,0.8942213654518127,0.9749334454536438,0.9756614091346313,1.0162073394758657
s0149,63,0.9417213201522827,0.020134594291448593,0.9209159016609192,0.9802805185317993,0.9718271493911743,0.012592615559697151,0.961829662322998,0.994933009147644,0.9207258224487305,0.03966487944126129,0.8775278329849243,0.9933788776397705,0.9690214157345243,1.022803202855453
s1370,118,0.979601263999939,0.006876242812722921,0.9719771146774292,0.9890305995941162,0.98542320728302,0.0028558666817843914,0.9823882579803467,0.9902437329292297,0.9468787312507629,0.04559255391359329,0.8854795694351196,0.9880208373069763,0.9940919360940026,1.034558314247857
