n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.662460126535894,0.43423137876386686,0.6588337342746226,0.7053931929786575,0.47871116225546606,0.6929814317056544,0.734436479108063,0.5196500848674762,0.7182413111166966
2,0.760168636066742,0.2136094674556213,0.6591431999661914,0.8042891529325793,0.18847811543818474,0.6814799976825577,0.8061242734345762,0.1381128470072011,0.6746910032655768
3,0.8204103991171269,0.5496598639455782,0.7344407230102854,0.8582469923998045,0.5671841094975797,0.7627090370942995,0.8576504526595127,0.5914015281103888,0.7836615483448686
5,0.832836101941262,0.43981042654028435,0.7397259797651698,0.8535913715029034,0.4423810835267734,0.7643226091016275,0.8964565775671018,0.4637938693913816,0.8213988227247767
10,0.8941349163426237,0.5978128797083839,0.7837048793939715,0.9104033986051366,0.5873935607396584,0.7980485846686819,0.9352050833615657,0.5944460240735475,0.8382389550683411
20,0.924631329268821,0.6140724946695096,0.8273550553106399,0.9348446958483954,0.5894661539837253,0.8326840886447022,0.9469506559164328,0.576956296424253,0.8567631596753045
30,0.9345361037065806,0.6090373280943026,0.8480681263176364,0.9495200057005696,0.5973760575468999,0.8662086560695842,0.9579619961650022,0.5975838012591458,0.8762024234753133
50,0.9397114292607434,0.6209598432908913,0.8571030801599058,0.9495308469320956,0.5889215173578985,0.8653824033398233,0.9627634510657184,0.6020495303159693,0.8779890220418656
75,0.9488292995804426,0.654994850669413,0.8638835082336063,0.9557853693275526,0.6113634486745396,0.8727100647192259,0.9682974049995738,0.6132172131147541,0.8858112198884771
100,0.9538513633876142,0.6794055201698513,0.8697152113220042,0.9601195423812818,0.6440942831097799,0.8782366738614508,0.9716817405284919,0.64335167761406,0.8921978953386653
