k,mean_sparse_quality,std_sparse_quality,mean_dense_fp_quality,std_dense_fp_quality,n_references
1,0.9605433010160923,0.10634053193468596,0.7681707919747569,0.23152522240897344,1000
2,0.947707905255258,0.110419461151618,0.9588333851397037,0.08277770650988016,1000
3,0.9885664351172745,0.06410066112254426,0.9872429604530335,0.0399454602770607,1000
5,0.9977440016865731,0.0038408481111805583,0.9965443904399872,0.005916441119957359,1000
10,0.998763074696064,0.0022602358085515046,0.9984730852842331,0.0026532208692924735,1000
20,0.9990500271916389,0.0016348058639741605,0.9989359669685364,0.0018219759699963747,1000
50,0.9991176813840866,0.0015543401142642731,0.9991193324923515,0.0015471513253787063,1000
100,0.9991437804102897,0.0015039281570373528,0.9991682430505753,0.001466924087675137,1000
9999,0.99700590816874,0.0488500475377618,0.99700590816874,0.0488500475377618,995
