k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
5,s0240,205,0.9677909016609192,0.019315283745527267,0.9371474981307983,0.9926896095275879,0.9921445846557617,0.001596395974047482,0.9892929792404175,0.9937311410903931
10,s0240,205,0.992285430431366,0.005172485951334238,0.986006498336792,0.998029887676239,0.9937533140182495,0.002266060560941696,0.9916418194770813,0.9976032376289368
20,s0240,205,0.9956059455871582,0.0016884003998711705,0.9935951232910156,0.9975950717926025,0.9943242073059082,0.0016610667807981372,0.9925493001937866,0.9970114231109619
50,s0240,205,0.995901882648468,0.0016534827882423997,0.9937784075737,0.998029887676239,0.9960805177688599,0.0012330354657024145,0.9947333931922913,0.9978394508361816
100,s0240,205,0.9959826469421387,0.0016644812421873212,0.9937784075737,0.998029887676239,0.9963505864143372,0.0012556939618662,0.9950853586196899,0.998029887676239
1,s0336,4,0.996984601020813,0.005490437615662813,0.9860079884529114,0.9998877644538879,0.8854199647903442,0.21108688414096832,0.4640076756477356,0.999742329120636
2,s0336,4,0.9996311068534851,0.0005500813131220639,0.9985318183898926,0.9999393224716187,0.9997552633285522,0.00014162244042381644,0.9995171427726746,0.9998956918716431
3,s0336,4,0.9999074935913086,1.5447634723386727e-05,0.9998857975006104,0.9999306201934814,0.9994942545890808,0.0008726339437998831,0.9977492690086365,0.9999589323997498
5,s0336,4,0.9999173283576965,1.830714609241113e-05,0.9998823404312134,0.9999333620071411,0.9996709823608398,0.00044167181476950645,0.9987931251525879,0.999927282333374
10,s0336,4,0.999954104423523,1.3312053852132522e-05,0.999935507774353,0.9999695420265198,0.9999088048934937,5.9793466789415106e-05,0.9997978806495667,0.9999688863754272
20,s0336,4,0.9999648332595825,7.646186531928834e-06,0.9999544620513916,0.9999740123748779,0.9999645948410034,8.656802492623683e-06,0.9999537467956543,0.9999740123748779
50,s0336,4,0.9999696016311646,3.5362186281417962e-06,0.9999634623527527,0.9999740123748779,0.9999683499336243,4.046361027576495e-06,0.9999614357948303,0.9999740123748779
100,s0336,4,0.9999702572822571,2.467229251124081e-06,0.9999668598175049,0.9999740123748779,0.9999704360961914,2.224778654635884e-06,0.9999678134918213,0.9999740123748779
1,s0368,7,0.998454749584198,0.0007756032282486558,0.9970980286598206,0.999343991279602,0.888163685798645,0.20690150558948517,0.47502559423446655,0.9998022317886353
2,s0368,7,0.999534010887146,0.0004099439538549632,0.9987529516220093,0.9999215602874756,0.9995628595352173,0.000576093967538327,0.9984127879142761,0.9998873472213745
3,s0368,7,0.9997841715812683,0.00017093317001126707,0.9994430541992188,0.9998792409896851,0.9990359544754028,0.0007857426535338163,0.9976556897163391,0.9997453093528748
5,s0368,7,0.9997749328613281,0.00015410961350426078,0.9995017647743225,0.999927282333374,0.9997087717056274,7.502700464101508e-05,0.9996294975280762,0.9998257756233215
10,s0368,7,0.9998890161514282,3.219428981537931e-05,0.9998481273651123,0.9999457597732544,0.9998747706413269,5.700369001715444e-05,0.999765932559967,0.9999173283576965
20,s0368,7,0.999917209148407,3.5223762097302824e-05,0.9998481273651123,0.9999457597732544,0.9999303817749023,1.4272693078964949e-05,0.9999128580093384,0.9999472498893738
50,s0368,7,0.9999343752861023,1.1212550816708244e-05,0.9999163746833801,0.9999457597732544,0.9999346733093262,1.0430199836264364e-05,0.9999219179153442,0.9999472498893738
100,s0368,7,0.9999383687973022,7.3563819569244515e-06,0.9999251365661621,0.9999457597732544,0.9999426007270813,4.32575325248763e-06,0.9999372959136963,0.9999472498893738
1,s0010,170,0.9960464239120483,0.0016169213922694325,0.9937154054641724,0.9980512857437134,0.9069961309432983,0.072001613676548,0.7727822065353394,0.986465334892273
2,s0010,170,0.9726805686950684,0.03107358328998089,0.9189790487289429,0.997212290763855,0.9961448907852173,0.000859257357660681,0.9947173595428467,0.9971824884414673
3,s0010,170,0.9952816963195801,0.004591701086610556,0.9865917563438416,0.9985586404800415,0.9949156641960144,0.0010411745170131326,0.9936200976371765,0.9964905977249146
5,s0010,170,0.9941102266311646,0.004124152008444071,0.9864924550056458,0.997672975063324,0.9974105954170227,0.002846913877874613,0.9917728900909424,0.9993780851364136
10,s0010,170,0.9990382194519043,0.0002818317152559757,0.9986591339111328,0.9993780851364136,0.9984542727470398,0.0004250321362633258,0.9977997541427612,0.9989426136016846
20,s0010,170,0.9991827011108398,0.00018539416487328708,0.9988622665405273,0.9993792772293091,0.998984158039093,0.0004541967064142227,0.9981294870376587,0.9994231462478638
50,s0010,170,0.9992864727973938,0.00010401660983916372,0.9990941286087036,0.9993792772293091,0.9993034601211548,8.980812708614394e-05,0.9991874098777771,0.9994231462478638
100,s0010,170,0.9992864727973938,0.00010401660983916372,0.9990941286087036,0.9993792772293091,0.9993034601211548,8.980812708614394e-05,0.9991874098777771,0.9994231462478638
1,s0408,1,0.9987022280693054,0.0005900420947000384,0.9976912140846252,0.9992917776107788,0.9165622591972351,0.12407871335744858,0.6697267293930054,0.9993184804916382
2,s0408,1,0.9926625490188599,0.0031683435663580894,0.9899193048477173,0.9978507161140442,0.9940553903579712,0.0041686659678816795,0.9889591932296753,0.9988517165184021
3,s0408,1,0.9995118975639343,0.00014691613614559174,0.9992751479148865,0.9997093677520752,0.9950874447822571,0.0049437559209764,0.9870415329933167,0.999726414680481
5,s0408,1,0.9997232556343079,6.093197225709446e-05,0.9996421337127686,0.9997830390930176,0.9994958639144897,0.00029565676231868565,0.9991390109062195,0.9998499155044556
10,s0408,1,0.9997585415840149,4.0974817238748074e-05,0.9996901154518127,0.9997944831848145,0.9997995495796204,2.8423641197150573e-05,0.9997624754905701,0.9998499155044556
20,s0408,1,0.9997941851615906,5.0220623961649835e-05,0.9997519254684448,0.9998923540115356,0.9997924566268921,3.08674389088992e-05,0.9997669458389282,0.9998499155044556
50,s0408,1,0.9998289346694946,3.674331310321577e-05,0.9997988939285278,0.9998923540115356,0.9998180270195007,2.9749142413493246e-05,0.99977046251297,0.9998499155044556
100,s0408,1,0.9998243451118469,4.18837480538059e-05,0.9997727870941162,0.9998923540115356,0.9998432397842407,3.0176684958860278e-05,0.9997988939285278,0.9998923540115356
